gender,race,college_tier,education_level,years_experience,skills_score,interview_score,test_score,hired
Male,Hispanic,Tier 3,Masters,8.8,56.9,70.2,52.5,0
,White,Tier 1,PhD,1.1,89.5,98.8,84.1,1
Female,Asian,Tier 2,Bachelors,6.2,66.1,79.4,62.7,0
Male,Black,Tier 3,PhD,13.5,41.4,54.7,37.0,0
Female,Hispanic,Tier 1,Masters,4.5,81.3,92.6,76.9,1
,White,Tier 2,Bachelors,9.3,59.4,72.7,55.0,0
Male,Asian,Tier 1,PhD,1.8,87.7,97.0,82.3,1
Female,Black,Tier 2,Masters,7.7,62.8,76.1,59.4,0
Male,Hispanic,Tier 3,Bachelors,12.2,45.3,58.6,40.9,0
,Asian,Tier 1,Masters,2.7,86.9,96.2,81.5,1
Female,White,Tier 2,PhD,5.4,68.7,82.0,65.3,1
Male,Black,Tier 3,Masters,10.4,50.6,63.9,46.2,0
Female,Hispanic,Tier 1,Bachelors,0.6,90.1,99.4,84.7,1
,White,Tier 2,Masters,8.2,61.5,74.8,57.1,0
Male,Asian,Tier 3,PhD,14.8,38.2,51.5,33.8,0
Female,Black,Tier 1,Bachelors,3.4,84.7,94.0,79.3,1
Male,Hispanic,Tier 2,Masters,9.7,57.7,71.0,53.3,0
,Asian,Tier 1,PhD,2.0,88.4,97.7,83.0,1
Female,White,Tier 2,Bachelors,7.0,65.2,78.5,61.8,0
Male,Black,Tier 3,Masters,11.7,48.4,61.7,44.0,0
,Hispanic,Tier 1,Bachelors,3.0,85.8,95.1,80.4,1
Female,Asian,Tier 2,PhD,6.5,67.8,81.1,64.4,1
Male,White,Tier 3,Bachelors,10.9,52.2,65.5,47.8,0
,Black,Tier 1,Masters,1.6,89.2,98.5,83.8,1
Female,Hispanic,Tier 2,PhD,8.0,60.7,74.0,56.3,0
Male,Asian,Tier 3,Bachelors,13.3,43.7,57.0,39.3,0
,White,Tier 1,Masters,3.8,83.4,92.7,78.0,1
Female,Black,Tier 2,Bachelors,5.7,69.8,83.1,66.4,0
Male,Hispanic,Tier 3,PhD,10.1,51.1,64.4,46.7,0
,Asian,Tier 1,Bachelors,0.4,90.8,100.0,85.3,1
Female,White,Tier 2,Masters,7.5,63.9,77.2,60.5,0
Male,Black,Tier 3,Bachelors,12.6,46.1,59.4,41.7,0
,Hispanic,Tier 1,PhD,2.2,87.2,96.5,81.8,1
Female,Asian,Tier 2,Masters,9.0,59.9,73.2,55.5,0
Male,White,Tier 3,PhD,14.0,40.6,53.9,36.2,0
,Black,Tier 1,Bachelors,4.4,82.5,91.8,77.1,1
Female,Hispanic,Tier 2,Masters,6.3,67.0,80.3,63.6,0
Male,Asian,Tier 3,Bachelors,11.4,50.0,63.3,45.6,0
,White,Tier 1,PhD,1.9,88.1,97.4,82.7,1
Female,Black,Tier 2,PhD,8.6,62.1,75.4,58.7,1
Male,Hispanic,Tier 3,Masters,13.8,42.8,56.1,38.4,0
,Asian,Tier 1,Bachelors,4.7,81.6,90.9,76.2,1
Female,White,Tier 2,Masters,5.5,70.8,84.1,67.4,0
Male,Black,Tier 3,PhD,9.9,53.3,66.6,48.9,0
,Hispanic,Tier 1,Bachelors,0.2,91.5,100.0,85.8,1
Female,Asian,Tier 2,Masters,7.8,63.0,76.3,59.6,0
Male,White,Tier 3,Bachelors,12.9,46.9,60.2,42.5,0
,Black,Tier 1,PhD,2.5,86.6,95.9,81.2,1
Female,Hispanic,Tier 2,Bachelors,9.4,58.8,72.1,54.4,0
Male,Asian,Tier 3,Masters,14.3,39.5,52.8,35.1,0
,White,Tier 1,Bachelors,5.0,80.8,90.1,75.4,1
Female,Black,Tier 2,PhD,4.8,71.7,85.0,68.3,1
Male,Hispanic,Tier 3,Bachelors,9.1,54.4,67.7,50.0,0
,Asian,Tier 1,Masters,0.7,90.3,99.6,84.9,1
Female,White,Tier 2,PhD,8.3,62.2,75.5,58.8,0
Male,Black,Tier 3,Masters,13.6,43.0,56.3,38.6,0
,Hispanic,Tier 1,Bachelors,3.2,85.0,94.3,79.6,1
Female,Asian,Tier 2,Masters,5.3,70.0,83.3,66.6,0
Male,White,Tier 3,PhD,9.6,53.5,66.8,49.1,0
,Black,Tier 1,Bachelors,1.0,89.9,99.2,84.5,1
Female,Hispanic,Tier 2,PhD,8.8,60.9,74.2,56.5,1
Male,Asian,Tier 3,Masters,14.1,41.7,55.0,37.3,0
,White,Tier 1,Bachelors,4.2,82.3,91.6,76.9,1
Female,Black,Tier 2,PhD,6.0,68.9,82.2,65.5,1
Male,Hispanic,Tier 3,Masters,10.2,51.9,65.2,47.5,0
,Asian,Tier 1,Bachelors,0.5,91.0,100.0,85.6,1
Female,White,Tier 2,PhD,8.1,62.4,75.7,59.0,0
Male,Black,Tier 3,Masters,13.4,43.2,56.5,38.8,0
,Hispanic,Tier 1,Bachelors,2.8,86.1,95.4,80.7,1
Female,Asian,Tier 2,PhD,5.8,69.1,82.4,65.7,1
Male,White,Tier 3,Masters,9.3,54.6,67.9,50.2,0
,Black,Tier 1,Bachelors,1.4,88.9,98.2,83.5,1
Female,Hispanic,Tier 2,PhD,8.5,61.2,74.5,56.8,0
Male,Asian,Tier 3,Masters,13.9,42.0,55.3,37.6,0
,White,Tier 1,Bachelors,3.5,84.4,93.7,79.0,1
Female,Black,Tier 2,PhD,5.1,70.2,83.5,66.8,1
Male,Hispanic,Tier 3,Masters,9.8,52.8,66.1,48.4,0
,Asian,Tier 1,Bachelors,0.3,91.7,100.0,86.0,1
Female,White,Tier 2,PhD,7.3,64.7,78.0,61.3,0
Male,Black,Tier 3,Masters,11.2,49.5,62.8,45.1,0
,Hispanic,Tier 1,Bachelors,1.2,89.6,98.9,84.2,1
Female,Asian,Tier 2,PhD,6.7,66.3,79.6,62.9,0
Male,White,Tier 3,Masters,10.7,50.4,63.7,46.0,0
,Black,Tier 1,Bachelors,2.4,87.0,96.3,81.6,1
Female,Hispanic,Tier 2,PhD,4.6,72.0,85.3,68.6,1
Male,Asian,Tier 3,Masters,8.9,55.5,68.8,51.1,0
,White,Tier 1,Bachelors,0.8,90.5,99.8,85.1,1
Female,Black,Tier 2,PhD,7.6,63.5,76.8,60.1,0
Male,Hispanic,Tier 3,Masters,11.5,48.7,62.0,44.3,0
,Asian,Tier 1,Bachelors,1.5,88.7,98.0,83.3,1
Female,White,Tier 2,PhD,6.9,66.5,79.8,63.1,0
Male,Black,Tier 3,Masters,10.5,50.9,64.2,46.5,0
,Hispanic,Tier 1,Bachelors,2.1,87.4,96.7,82.0,1
Female,Asian,Tier 2,PhD,4.9,71.1,84.4,67.7,1
Male,White,Tier 3,Masters,8.7,56.3,69.6,51.9,0
,Black,Tier 1,Bachelors,0.6,90.9,100.0,85.4,1
Female,Hispanic,Tier 2,PhD,7.2,65.0,78.3,61.6,0
Male,Asian,Tier 3,Masters,11.0,49.8,63.1,45.4,0
,White,Tier 1,Bachelors,1.7,88.5,97.8,83.1,1
Female,Black,Tier 2,PhD,6.4,67.4,80.7,64.0,0
Male,Hispanic,Tier 3,Masters,10.0,52.7,66.0,48.3,0
,Asian,Tier 1,Bachelors,2.6,86.8,96.1,81.4,1
Female,White,Tier 2,PhD,4.4,72.8,86.1,69.4,1
Male,Black,Tier 3,Masters,8.5,56.6,69.9,52.2,0
,Hispanic,Tier 1,Bachelors,0.4,91.2,100.0,85.7,1
Female,Asian,Tier 2,PhD,7.9,63.3,76.6,59.9,0
Male,White,Tier 3,Masters,11.3,49.0,62.3,44.6,0
,Black,Tier 1,Bachelors,1.3,89.4,98.7,84.0,1
Female,Hispanic,Tier 2,PhD,6.1,68.0,81.3,64.6,0
Male,Asian,Tier 3,Masters,10.8,50.2,63.5,45.8,0
,White,Tier 1,Bachelors,2.9,86.3,95.6,80.9,1
Female,Black,Tier 2,PhD,4.2,73.6,86.9,70.2,1
Male,Hispanic,Tier 3,Masters,8.3,57.4,70.7,53.0,0
,Asian,Tier 1,Bachelors,0.9,90.0,99.3,84.6,1
Female,White,Tier 2,PhD,7.1,65.4,78.7,62.0,0
Male,Black,Tier 3,Masters,11.8,47.9,61.2,43.5,0
,Hispanic,Tier 1,Bachelors,1.1,89.8,99.1,84.4,1
Female,Asian,Tier 2,PhD,6.6,66.9,80.2,63.5,0
Male,White,Tier 3,Masters,10.6,50.7,64.0,46.3,0
,Black,Tier 1,Bachelors,2.3,87.1,96.4,81.7,1
Female,Hispanic,Tier 2,PhD,4.5,72.3,85.6,68.9,1
Male,Asian,Tier 3,Masters,8.6,55.8,69.1,51.4,0
,White,Tier 1,Bachelors,0.1,92.0,100.0,86.3,1
Female,Black,Tier 2,PhD,7.4,64.2,77.5,60.8,0
Male,Hispanic,Tier 3,Masters,11.1,49.3,62.6,44.9,0
,Asian,Tier 1,Bachelors,1.6,88.6,97.9,83.2,1
Female,White,Tier 2,PhD,6.8,66.7,80.0,63.3,0
Male,Black,Tier 3,Masters,10.3,51.5,64.8,47.1,0
,Hispanic,Tier 1,Bachelors,2.0,87.6,96.9,82.2,1
Female,Asian,Tier 2,PhD,4.0,74.0,87.3,70.6,1
Male,White,Tier 3,Masters,8.0,58.0,71.3,53.6,0
,Black,Tier 1,Bachelors,0.4,91.3,100.0,85.8,1
Female,Hispanic,Tier 2,PhD,7.7,63.8,77.1,60.4,0
Male,Asian,Tier 3,Masters,11.6,48.2,61.5,43.8,0
,White,Tier 1,Bachelors,1.8,88.3,97.6,82.9,1
Female,Black,Tier 2,PhD,6.2,67.6,80.9,64.2,0
Male,Hispanic,Tier 3,Masters,10.4,51.3,64.6,46.9,0
,Asian,Tier 1,Bachelors,2.7,86.7,96.0,81.3,1
Female,White,Tier 2,PhD,4.3,73.1,86.4,69.7,1
Male,Black,Tier 3,Masters,8.2,57.1,70.4,52.7,0
,Hispanic,Tier 1,Bachelors,0.7,90.6,99.9,85.2,1
Female,Asian,Tier 2,PhD,7.5,64.5,77.8,61.1,0
Male,White,Tier 3,Masters,11.4,48.8,62.1,44.4,0
,Black,Tier 1,Bachelors,1.2,89.7,99.0,84.3,1
Female,Hispanic,Tier 2,PhD,6.3,67.2,80.5,63.8,0
Male,Asian,Tier 3,Masters,10.9,50.1,63.4,45.7,0
,White,Tier 1,Bachelors,2.2,87.3,96.6,81.9,1
Female,Black,Tier 2,PhD,4.1,74.4,87.7,71.0,1
Male,Hispanic,Tier 3,Masters,8.1,57.7,71.0,53.3,0
,Asian,Tier 1,Bachelors,0.6,90.7,100.0,85.5,1
Female,White,Tier 2,PhD,7.0,65.7,79.0,62.3,0
Male,Black,Tier 3,Masters,11.9,47.6,60.9,43.2,0
,Hispanic,Tier 1,Bachelors,1.4,89.1,98.4,83.7,1
Female,Asian,Tier 2,PhD,6.5,66.8,80.1,63.4,0
Male,White,Tier 3,Masters,10.1,52.4,65.7,48.0,0
,Black,Tier 1,Bachelors,2.5,86.9,96.2,81.5,1
Female,Hispanic,Tier 2,PhD,4.4,72.5,85.8,69.1,1
Male,Asian,Tier 3,Masters,8.4,56.8,70.1,52.4,0
,White,Tier 1,Bachelors,0.5,91.1,100.0,85.6,1
Female,Black,Tier 2,PhD,7.8,63.6,76.9,60.2,0
Male,Hispanic,Tier 3,Masters,11.7,48.1,61.4,43.7,0
,Asian,Tier 1,Bachelors,1.0,90.2,99.5,84.8,1
Female,White,Tier 2,PhD,6.0,68.2,81.5,64.8,0
Male,Black,Tier 3,Masters,10.2,51.7,65.0,47.3,0
,Hispanic,Tier 1,Bachelors,2.7,86.5,95.8,81.1,1
Female,Asian,Tier 2,PhD,4.7,71.4,84.7,68.0,1
Male,White,Tier 3,Masters,8.6,56.1,69.4,51.7,0
,Black,Tier 1,Bachelors,0.1,92.2,100.0,86.5,1
Female,Hispanic,Tier 2,PhD,7.9,63.1,76.4,59.7,0
Male,Asian,Tier 3,Masters,11.2,49.6,62.9,45.2,0
,White,Tier 1,Bachelors,1.9,88.0,97.3,82.6,1
Female,Black,Tier 2,PhD,6.6,67.1,80.4,63.7,0
Male,Hispanic,Tier 3,Masters,10.0,52.9,66.2,48.5,0
,Asian,Tier 1,Bachelors,2.8,86.4,95.7,81.0,1
Female,White,Tier 2,PhD,4.2,73.3,86.6,69.9,1
Male,Black,Tier 3,Masters,8.8,55.9,69.2,51.5,0
,Hispanic,Tier 1,Bachelors,0.3,91.4,100.0,85.9,1
Female,Asian,Tier 2,PhD,7.4,64.8,78.1,61.4,0
Male,White,Tier 3,Masters,11.0,49.9,63.2,45.5,0
,Black,Tier 1,Bachelors,1.5,88.8,98.1,83.4,1
Female,Hispanic,Tier 2,PhD,6.2,67.7,81.0,64.3,0
Male,Asian,Tier 3,Masters,10.5,50.8,64.1,46.4,0
,White,Tier 1,Bachelors,2.1,87.5,96.8,82.1,1
Female,Black,Tier 2,PhD,4.0,74.7,88.0,71.3,1
Male,Hispanic,Tier 3,Masters,8.9,55.2,68.5,50.8,0
,Asian,Tier 1,Bachelors,0.9,90.4,99.7,85.0,1
Female,White,Tier 2,PhD,7.1,65.6,78.9,62.2,0
Male,Black,Tier 3,Masters,11.7,48.0,61.3,43.6,0
,Hispanic,Tier 1,Bachelors,1.7,88.2,97.5,82.8,1
Female,Asian,Tier 2,PhD,6.7,66.6,79.9,63.2,0
Male,White,Tier 3,Masters,10.2,51.8,65.1,47.4,0
,Black,Tier 1,Bachelors,2.4,87.2,96.5,81.8,1
Female,Hispanic,Tier 2,PhD,4.8,71.7,85.0,68.3,1
Male,Asian,Tier 3,Masters,8.2,57.3,70.6,52.9,0
,White,Tier 1,Bachelors,0.2,91.8,100.0,86.1,1
Female,Black,Tier 2,PhD,7.2,64.9,78.2,61.5,0
Male,Hispanic,Tier 3,Masters,11.3,49.1,62.4,44.7,0
,Asian,Tier 1,Bachelors,1.4,89.2,98.5,83.8,1
Female,White,Tier 2,PhD,6.4,67.3,80.6,63.9,0
Male,Black,Tier 3,Masters,10.6,50.6,63.9,46.2,0
,Hispanic,Tier 1,Bachelors,2.0,87.7,97.0,82.3,1
Female,Asian,Tier 2,PhD,4.3,73.0,86.3,69.6,1
Male,White,Tier 3,Masters,8.7,56.0,69.3,51.6,0
,Black,Tier 1,Bachelors,0.8,90.3,99.6,84.9,1
Female,Hispanic,Tier 2,PhD,7.0,65.9,79.2,62.5,0
Male,Asian,Tier 3,Masters,11.1,49.7,63.0,45.3,0
,White,Tier 1,Bachelors,1.6,88.6,97.9,83.2,1
Female,Black,Tier 2,PhD,6.9,66.4,79.7,63.0,0
Male,Hispanic,Tier 3,Masters,10.4,51.0,64.3,46.6,0
,Asian,Tier 1,Bachelors,2.6,86.6,95.9,81.2,1
Female,White,Tier 2,PhD,4.1,73.8,87.1,70.4,1
Male,Black,Tier 3,Masters,8.6,56.5,69.8,52.1,0
,Hispanic,Tier 1,Bachelors,0.6,90.8,100.0,85.5,1
Female,Asian,Tier 2,PhD,7.3,64.6,77.9,61.2,0
Male,White,Tier 3,Masters,11.2,49.2,62.5,44.8,0
,Black,Tier 1,Bachelors,1.1,89.9,99.2,84.5,1
Female,Hispanic,Tier 2,PhD,6.8,66.2,79.5,62.8,0
Male,Asian,Tier 3,Masters,10.7,50.5,63.8,46.1,0
,White,Tier 1,Bachelors,2.0,87.8,97.1,82.4,1
Female,Black,Tier 2,PhD,4.9,71.3,84.6,67.9,1
Male,Hispanic,Tier 3,Masters,8.0,57.9,71.2,53.5,0
,Asian,Tier 1,Bachelors,0.7,90.2,99.5,84.8,1
Female,White,Tier 2,PhD,7.6,64.0,77.3,60.6,0
Male,Black,Tier 3,Masters,11.5,48.5,61.8,44.1,0
,Hispanic,Tier 1,Bachelors,1.8,88.1,97.4,82.7,1
Female,Asian,Tier 2,PhD,6.1,67.9,81.2,64.5,0
Male,White,Tier 3,Masters,10.8,50.3,63.6,45.9,0
,Black,Tier 1,Bachelors,2.9,86.2,95.5,80.8,1
Female,Hispanic,Tier 2,PhD,4.7,71.6,84.9,68.2,1
Male,Asian,Tier 3,Masters,8.3,57.0,70.3,52.6,0
,White,Tier 1,Bachelors,0.2,91.9,100.0,86.2,1
Female,Black,Tier 2,PhD,7.5,64.3,77.6,60.9,0
Male,Hispanic,Tier 3,Masters,11.4,48.9,62.2,44.5,0
,Asian,Tier 1,Bachelors,1.3,89.3,98.6,83.9,1
Female,White,Tier 2,PhD,6.7,66.6,79.9,63.2,0
Male,Black,Tier 3,Masters,10.1,52.5,65.8,48.1,0
,Hispanic,Tier 1,Bachelors,2.6,86.7,96.0,81.3,1
Female,Asian,Tier 2,PhD,4.6,72.2,85.5,68.8,1
Male,White,Tier 3,Masters,8.5,56.4,69.7,51.8,0
,Black,Tier 1,Bachelors,0.8,90.1,99.4,84.7,1
Female,Hispanic,Tier 2,PhD,7.4,64.4,77.7,61.0,0
Male,Asian,Tier 3,Masters,11.3,49.4,62.7,45.0,0
,White,Tier 1,Bachelors,1.2,89.5,98.8,84.1,1
Female,Black,Tier 2,PhD,6.3,67.5,80.8,64.1,0
Male,Hispanic,Tier 3,Masters,10.9,50.0,63.3,45.6,0
,Asian,Tier 1,Bachelors,2.0,87.9,97.2,82.5,1
Female,White,Tier 2,PhD,4.5,72.6,85.9,69.2,1
Male,Black,Tier 3,Masters,8.4,56.7,70.0,52.3,0
,Hispanic,Tier 1,Bachelors,0.9,90.0,99.3,84.6,1
Female,Asian,Tier 2,PhD,7.2,65.1,78.4,61.7,0
Male,White,Tier 3,Masters,11.6,48.4,61.7,44.0,0
,Black,Tier 1,Bachelors,1.4,89.0,98.3,83.6,1
Female,Hispanic,Tier 2,PhD,6.6,66.7,80.0,63.3,0
Male,Asian,Tier 3,Masters,10.3,51.6,64.9,47.2,0
,White,Tier 1,Bachelors,2.5,87.0,96.3,81.6,1
Female,Black,Tier 2,PhD,4.4,72.9,86.2,69.5,1
Male,Hispanic,Tier 3,Masters,8.3,57.2,70.5,52.8,0
,Asian,Tier 1,Bachelors,0.1,92.1,100.0,86.4,1
Female,White,Tier 2,PhD,7.5,64.1,77.4,60.7,0
Male,Black,Tier 3,Masters,11.4,49.0,62.3,44.6,0
,Hispanic,Tier 1,Bachelors,1.7,88.4,97.7,83.0,1
Female,Asian,Tier 2,PhD,6.2,67.8,81.1,64.4,0
Male,White,Tier 3,Masters,10.7,50.3,63.6,45.9,0
,Black,Tier 1,Bachelors,2.8,86.5,95.8,81.1,1
Female,Hispanic,Tier 2,PhD,4.0,74.3,87.6,70.9,1
Male,Asian,Tier 3,Masters,8.1,57.8,71.1,53.4,0
,White,Tier 1,Bachelors,0.6,90.9,100.0,85.6,1
Female,Black,Tier 2,PhD,7.0,65.8,79.1,62.4,0
Male,Hispanic,Tier 3,Masters,11.9,47.5,60.8,43.1,0
,Asian,Tier 1,Bachelors,1.3,89.2,98.5,83.8,1
Female,White,Tier 2,PhD,6.5,67.0,80.3,63.6,0
Male,Black,Tier 3,Masters,10.2,51.8,65.1,47.4,0
,Hispanic,Tier 1,Bachelors,2.4,87.1,96.4,81.7,1
Female,Asian,Tier 2,PhD,4.9,71.2,84.5,67.8,1
Male,White,Tier 3,Masters,8.4,56.9,70.2,52.5,0
,Black,Tier 1,Bachelors,0.7,90.4,99.7,85.0,1
Female,Hispanic,Tier 2,PhD,7.3,64.7,78.0,61.3,0
Male,Asian,Tier 3,Masters,11.0,49.9,63.2,45.5,0
,White,Tier 1,Bachelors,1.2,89.6,98.9,84.2,1
Female,Black,Tier 2,PhD,6.4,67.1,80.4,63.7,0
Male,Hispanic,Tier 3,Masters,10.5,50.9,64.2,46.5,0
,Asian,Tier 1,Bachelors,2.1,87.6,96.9,82.2,1
Female,White,Tier 2,PhD,4.1,73.7,87.0,70.3,1
Male,Black,Tier 3,Masters,8.3,57.0,70.3,52.6,0
,Hispanic,Tier 1,Bachelors,0.5,91.0,100.0,85.7,1
Female,Asian,Tier 2,PhD,7.8,63.4,76.7,60.0,0
Male,White,Tier 3,Masters,11.1,49.7,63.0,45.3,0
,Black,Tier 1,Bachelors,1.0,90.1,99.4,84.7,1
Female,Hispanic,Tier 2,PhD,6.9,66.1,79.4,62.7,0
Male,Asian,Tier 3,Masters,10.6,50.6,63.9,46.2,0
,White,Tier 1,Bachelors,2.6,86.7,96.0,81.3,1
Female,Black,Tier 2,PhD,4.2,73.4,86.7,70.0,1
Male,Hispanic,Tier 3,Masters,8.2,57.5,70.8,53.1,0
,Asian,Tier 1,Bachelors,0.7,90.2,99.5,84.8,1
Female,White,Tier 2,PhD,7.0,65.5,78.8,62.1,0
Male,Black,Tier 3,Masters,11.8,47.7,61.0,43.3,0
,Hispanic,Tier 1,Bachelors,1.5,88.9,98.2,83.5,1
Female,Asian,Tier 2,PhD,6.1,68.1,81.4,64.7,0
Male,White,Tier 3,Masters,10.4,51.4,64.7,47.0,0
,Black,Tier 1,Bachelors,2.7,86.6,95.9,81.2,1
Female,Hispanic,Tier 2,PhD,4.3,73.2,86.5,69.8,1
Male,Asian,Tier 3,Masters,8.5,56.2,69.5,51.8,0
,White,Tier 1,Bachelors,0.4,91.3,100.0,85.8,1
Female,Black,Tier 2,PhD,7.1,65.3,78.6,61.9,0
Male,Hispanic,Tier 3,Masters,11.7,48.3,61.6,43.9,0
,Asian,Tier 1,Bachelors,1.2,89.7,99.0,84.3,1
Female,White,Tier 2,PhD,6.8,66.3,79.6,62.9,0
Male,Black,Tier 3,Masters,10.0,52.6,65.9,48.2,0
,Hispanic,Tier 1,Bachelors,2.3,87.3,96.6,81.9,1
Female,Asian,Tier 2,PhD,4.6,71.8,85.1,68.4,1
Male,White,Tier 3,Masters,8.6,56.0,69.3,51.6,0
,Black,Tier 1,Bachelors,0.9,90.0,99.3,84.6,1
Female,Hispanic,Tier 2,PhD,7.5,64.2,77.5,60.8,0
Male,Asian,Tier 3,Masters,11.2,49.5,62.8,45.1,0
,White,Tier 1,Bachelors,1.1,89.9,99.2,84.5,1
Female,Black,Tier 2,PhD,6.7,66.8,80.1,63.4,0
Male,Hispanic,Tier 3,Masters,10.8,50.4,63.7,46.0,0
,Asian,Tier 1,Bachelors,2.9,86.4,95.7,81.0,1
Female,White,Tier 2,PhD,4.0,74.1,87.4,70.7,1
Male,Black,Tier 3,Masters,8.4,56.9,70.2,52.5,0
,Hispanic,Tier 1,Bachelors,0.3,91.5,100.0,85.9,1
Female,Asian,Tier 2,PhD,7.2,65.0,78.3,61.6,0
Male,White,Tier 3,Masters,11.5,48.6,61.9,44.2,0
,Black,Tier 1,Bachelors,1.4,89.1,98.4,83.7,1
Female,Hispanic,Tier 2,PhD,6.0,68.3,81.6,64.9,0
Male,Asian,Tier 3,Masters,10.7,50.2,63.5,45.8,0
,White,Tier 1,Bachelors,2.1,87.7,97.0,82.3,1
Female,Black,Tier 2,PhD,4.4,72.7,86.0,69.3,1
Male,Hispanic,Tier 3,Masters,8.9,55.3,68.6,50.9,0
,Asian,Tier 1,Bachelors,0.8,90.2,99.5,84.8,1
Female,White,Tier 2,PhD,7.3,64.8,78.1,61.4,0
Male,Black,Tier 3,Masters,11.4,48.7,62.0,44.3,0
,Hispanic,Tier 1,Bachelors,1.9,88.1,97.4,82.7,1
Female,Asian,Tier 2,PhD,6.3,67.6,80.9,64.2,0
Male,White,Tier 3,Masters,10.3,51.7,65.0,47.3,0
,Black,Tier 1,Bachelors,2.2,87.4,96.7,82.0,1
Female,Hispanic,Tier 2,PhD,4.2,73.5,86.8,70.1,1
Male,Asian,Tier 3,Masters,8.8,55.7,69.0,51.3,0
,White,Tier 1,Bachelors,0.7,90.6,99.9,85.3,1
Female,Black,Tier 2,PhD,7.7,63.7,77.0,60.3,0
Male,Hispanic,Tier 3,Masters,11.0,49.8,63.1,45.4,0
,Asian,Tier 1,Bachelors,1.1,89.7,99.0,84.3,1
Female,White,Tier 2,PhD,6.9,66.0,79.3,62.6,0
Male,Black,Tier 3,Masters,10.6,50.5,63.8,46.1,0
,Hispanic,Tier 1,Bachelors,2.5,86.9,96.2,81.5,1
Female,Asian,Tier 2,PhD,4.5,72.1,85.4,68.7,1
